chavematricula;codmatricula;ra;codcurso;serie;coddisciplina;sigladisciplina;notan1;notan2;notaaps
03828BPEDN2A;1243BPEDN2A;106499;124;3;1031;503_092_EI;10.00;2.00;6.00
03829BPEDN2A;1243BPEDN2A;106499;124;3;1032;503_092_LI;3.5;4.75;2.00
03830BPEDN2A;1243BPEDN2A;106499;124;3;1033;503_092_PE;4.00;5.00;6.00
03831BPEDN2A;1243BPEDN2A;106499;124;3;1034;503_092_PPI;6.00;5.00;10.00
03832BPEDN2A;1243BPEDN2A;106499;124;3;1035;503_092_PD;0.00;8.5;10.00
03833BPEDN2A;1243BPEDN2A;106499;124;3;1036;503_092_TE;3.5;9.65;9.65
03834BMATN1A;1235BMATN1A;106503;123;5;1244;1261244LIB;3.5;5.00;6.00
03835LADMN1A;1203LADMN1A;106511;120;3;515;103_092_CO;2.00;2.00;7.00
03836LADMN1A;1203LADMN1A;106511;120;3;516;103_092_E;4.00;8.5;9.65
03837LADMN1A;1203LADMN1A;106511;120;3;517;103_092_LT;7.5;3.00;9.65
03838LADMN1A;1203LADMN1A;106511;120;3;518;103_092_M;8.00;8.5;10.00
03839LADMN1A;1203LADMN1A;106511;120;3;519;103_092_PPI;5.25;3.00;7.00
03840LADMN1A;1203LADMN1A;106511;120;3;520;103_092_SO;9.00;6.00;2.00
03841BPEDN1A;1247BPEDN1A;106524;124;7;1058;507_081_APMD;1.00;10.00;1.00
03842BPEDN1A;1247BPEDN1A;106524;124;7;1059;507_081_FI;9.00;5.00;0.50
03843BPEDN1A;1247BPEDN1A;106524;124;7;1060;507_081_MA;8.00;7.00;9.65
03844BPEDN1A;1247BPEDN1A;106524;124;7;1061;507_081_MEH;8.00;6.00;0.50
03845BPEDN1A;1247BPEDN1A;106524;124;7;1062;507_081_TCC;4.00;1.00;5.00
03846BPEDN1A;1247BPEDN1A;106524;124;7;1063;507_081_PPI;2.00;4.75;0.50
03847BMATN2A;1234BMATN2A;106525;123;4;1223;1261223EDI;2.00;9.65;10.00
03848LCCTN1A;1222LCCTN1A;106527;122;2;661;302_092_CI;10.00;3.00;0.50
03849LCCTN1A;1222LCCTN1A;106527;122;2;662;302_092_FA;8.00;2.00;6.00
03850LCCTN1A;1222LCCTN1A;106527;122;2;663;302_092_LP;5.25;1.00;3.00
03851LCCTN1A;1222LCCTN1A;106527;122;2;664;302_092_MF;7.5;6.00;5.00
03852LCCTN1A;1222LCCTN1A;106527;122;2;665;302_092_PPI;6.00;9.65;2.00
03853BMATN1A;1231BMATN1A;106531;123;1;1225;1261225ES1;6.00;3.00;9.65
03854LPEDN2A;1243LPEDN2A;106535;124;3;1031;503_092_EI;0.00;3.00;8.50
03855LPEDN2A;1243LPEDN2A;106535;124;3;1032;503_092_LI;2.00;3.00;1.00
03856LPEDN2A;1243LPEDN2A;106535;124;3;1033;503_092_PE;5.25;9.65;1.00
03857LPEDN2A;1243LPEDN2A;106535;124;3;1034;503_092_PPI;2.00;4.75;8.50
03858LPEDN2A;1243LPEDN2A;106535;124;3;1035;503_092_PD;0.00;7.00;4.75
03859LPEDN2A;1243LPEDN2A;106535;124;3;1036;503_092_TE;10.00;6.00;9.65
03860LSISN2A;1252LSISN2A;106548;125;2;1173;702_092_AP;0.00;6.00;7.00
03861LSISN2A;1252LSISN2A;106548;125;2;1174;702_092_FA;9.00;3.00;6.00
03862LSISN2A;1252LSISN2A;106548;125;2;1175;702_092_FSI;9.00;4.75;6.00
03863LSISN2A;1252LSISN2A;106548;125;2;1176;702_092_LP;10.00;1.00;1.00
03864LSISN2A;1252LSISN2A;106548;125;2;1177;702_092_M;4.00;9.65;2.00
03865LSISN2A;1252LSISN2A;106548;125;2;1178;702_092_PPI;1.00;6.00;3.00
03866LBDDM2A;1272LBDDM2A;106555;127;2;589;823B_092_FBD;4.00;8.5;3.00
03867LBDDM2A;1272LBDDM2A;106555;127;2;590;823B_092_FSO;8.00;8.5;3.00
03868LBDDM2A;1272LBDDM2A;106555;127;2;591;823B_092_ICSOR;1.00;4.75;3.00
03869LBDDM2A;1272LBDDM2A;106555;127;2;592;823B_092_ICS;3.5;3.00;7.00
03870LBDDM2A;1272LBDDM2A;106555;127;2;593;823B_092_PPI;2.00;10.00;2.00
03871BMATN1A;1234BMATN1A;106572;123;4;1226;1261226ES2;2.00;5.00;1.00
03872LADMN2A;1206LADMN2A;106574;120;6;532;106_081_FC;8.00;1.00;1.00
03873LADMN2A;1206LADMN2A;106574;120;6;538;106_081_GPE;10.00;4.75;7.00
03874LADMN2A;1206LADMN2A;106574;120;6;534;106_081_LE;8.00;6.00;1.00
03875LADMN2A;1206LADMN2A;106574;120;6;535;106_081_M;4.00;5.00;4.75
03876LADMN2A;1206LADMN2A;106574;120;6;536;106_081_MF;0.00;5.00;8.50
03877LADMN2A;1206LADMN2A;106574;120;6;539;106_081_PPIN;10.00;4.75;5.00
03878LPEDN1A;1242LPEDN1A;106575;124;2;1019;502_092_FE;4.00;7.00;4.75
03879LPEDN1A;1242LPEDN1A;106575;124;2;1020;502_092_LP;7.5;1.00;2.00
03880LPEDN1A;1242LPEDN1A;106575;124;2;1021;502_092_PEN;2.00;2.00;4.75
03881LPEDN1A;1242LPEDN1A;106575;124;2;1022;502_092_PPI;10.00;6.00;6.00
03882LPEDN1A;1242LPEDN1A;106575;124;2;1023;502_092_PE;10.00;8.5;9.65
03883LPEDN1A;1242LPEDN1A;106575;124;2;1024;502_092_TE;6.00;8.5;8.50
03884BMATN2A;1232BMATN2A;106589;123;2;1252;1261252PDE;10.00;1.00;10.00
03885BPEDN2A;1243BPEDN2A;106598;124;3;1031;503_092_EI;7.5;3.00;9.65
03886BPEDN2A;1243BPEDN2A;106598;124;3;1032;503_092_LI;7.5;1.00;0.50
03887BPEDN2A;1243BPEDN2A;106598;124;3;1033;503_092_PE;2.00;2.00;8.50
03888BPEDN2A;1243BPEDN2A;106598;124;3;1034;503_092_PPI;6.00;7.00;3.00
03889BPEDN2A;1243BPEDN2A;106598;124;3;1035;503_092_PD;3.5;7.00;0.50
03890BPEDN2A;1243BPEDN2A;106598;124;3;1036;503_092_TE;6.00;1.00;6.00
03891BPEDN2A;1244BPEDN2A;106603;124;4;1037;504_081_CP;8.00;8.5;1.00
03892BPEDN2A;1244BPEDN2A;106603;124;4;1038;504_081_EJA;1.00;4.75;6.00
03893BPEDN2A;1244BPEDN2A;106603;124;4;1039;504_081_EFEB;3.5;1.00;7.00
03894BPEDN2A;1244BPEDN2A;106603;124;4;1040;504_081_GE;1.00;6.00;7.00
03895BPEDN2A;1244BPEDN2A;106603;124;4;1041;504_081_PPI;5.25;6.00;8.50
03896BADMN2A;1208BADMN2A;106614;120;8;547;108_081_EC;2.00;3.00;4.75
03897BADMN2A;1208BADMN2A;106614;120;8;548;108_081_FC;8.00;2.00;4.75
03898BADMN2A;1208BADMN2A;106614;120;8;554;108_081_JE;2.00;8.5;2.00
03899BADMN2A;1208BADMN2A;106614;120;8;550;108_081_M;1.00;9.65;2.00
03900BADMN2A;1208BADMN2A;106614;120;8;555;108_081_PN;6.00;7.00;1.00
03901BADMN2A;1208BADMN2A;106614;120;8;553;108_081_TCC;5.25;6.00;10.00
03902LPEDN2A;1245LPEDN2A;106621;124;5;1042;505_081_CM;3.5;1.00;9.65
03903LPEDN2A;1245LPEDN2A;106621;124;5;1043;505_081_D;3.5;1.00;5.00
03904LPEDN2A;1245LPEDN2A;106621;124;5;1044;505_081_FP;0.00;5.00;8.50
03905LPEDN2A;1245LPEDN2A;106621;124;5;1045;505_081_FEL;1.00;10.00;2.00
03906LPEDN2A;1245LPEDN2A;106621;124;5;1046;505_081_PPI;4.00;2.00;10.00
03907BMATM1A;1234BMATM1A;106635;123;4;1231;1261231FDV;7.5;8.5;4.75
03908BCCTN1A;1222BCCTN1A;106636;122;2;661;302_092_CI;5.25;8.5;9.65
03909BCCTN1A;1222BCCTN1A;106636;122;2;662;302_092_FA;7.5;3.00;2.00
03910BCCTN1A;1222BCCTN1A;106636;122;2;663;302_092_LP;1.00;6.00;3.00
03911BCCTN1A;1222BCCTN1A;106636;122;2;664;302_092_MF;7.5;7.00;10.00
03912BCCTN1A;1222BCCTN1A;106636;122;2;665;302_092_PPI;4.00;4.75;1.00
03913LMATN2A;1231LMATN2A;106639;123;1;1245;1261245LED;3.5;7.00;3.00
03914LCCTN1A;1222LCCTN1A;106647;122;2;661;302_092_CI;10.00;4.75;4.75
03915LCCTN1A;1222LCCTN1A;106647;122;2;662;302_092_FA;10.00;8.5;5.00
03916LCCTN1A;1222LCCTN1A;106647;122;2;663;302_092_LP;5.25;3.00;5.00
03917LCCTN1A;1222LCCTN1A;106647;122;2;664;302_092_MF;8.00;5.00;3.00
03918LCCTN1A;1222LCCTN1A;106647;122;2;665;302_092_PPI;2.00;7.00;9.65
03919LMATM2A;1236LMATM2A;106654;123;6;1242;1261242IAA;8.00;5.00;3.00
03920LMATN2A;1234LMATN2A;106658;123;4;1241;1261241INT;2.00;2.00;4.75
03921BMATN2A;1235BMATN2A;106675;123;5;1239;1261239HED;0.00;10.00;5.00
03922LREDM1A;1324LREDM1A;106688;132;4;1088;821D_092_PPI;6.00;7.00;9.65
03923LREDM1A;1324LREDM1A;106688;132;4;1089;821D_092_SIER;0.00;2.00;4.75
03924LREDM1A;1324LREDM1A;106688;132;4;1090;821D_092_TGMAD;6.00;4.75;3.00
03925LREDM1A;1324LREDM1A;106688;132;4;1091;821D_092_TRGIE;7.5;1.00;3.00
03926LCCTN1A;1224LCCTN1A;106698;122;4;676;304_081_CPO;4.00;2.00;10.00
03927LCCTN1A;1224LCCTN1A;106698;122;4;677;304_081_E;7.5;8.5;9.65
03928LCCTN1A;1224LCCTN1A;106698;122;4;678;304_081_FE;2.00;4.75;6.00
03929LCCTN1A;1224LCCTN1A;106698;122;4;679;304_081_LT;7.5;5.00;8.50
03930LCCTN1A;1224LCCTN1A;106698;122;4;680;304_081_PPI;7.5;9.65;1.00
03931LCCTN1A;1224LCCTN1A;106698;122;4;681;304_081_PO;3.5;7.00;2.00
03932LREDN2A;1324LREDN2A;106702;132;4;1088;821D_092_PPI;4.00;5.00;10.00
03933LREDN2A;1324LREDN2A;106702;132;4;1089;821D_092_SIER;4.00;3.00;2.00
03934LREDN2A;1324LREDN2A;106702;132;4;1090;821D_092_TGMAD;6.00;5.00;7.00
03935LREDN2A;1324LREDN2A;106702;132;4;1091;821D_092_TRGIE;10.00;3.00;0.50
03936LADMN1A;1202LADMN1A;106704;120;2;505;102_092_CG;8.00;7.00;0.50
03937LADMN1A;1202LADMN1A;106704;120;2;506;102_092_LP;4.00;10.00;10.00
03938LADMN1A;1202LADMN1A;106704;120;2;507;102_092_M;1.00;6.00;7.00
03939LADMN1A;1202LADMN1A;106704;120;2;508;102_092_PPI;5.25;4.75;4.75
03940LADMN1A;1202LADMN1A;106704;120;2;509;102_092_TGA;8.00;3.00;9.65
03941LPEDN1A;1246LPEDN1A;106712;124;6;1047;506_081_AA;6.00;4.75;9.65
03942LPEDN1A;1246LPEDN1A;106712;124;6;1048;506_081_MEC;0.00;3.00;6.00
03943LPEDN1A;1246LPEDN1A;106712;124;6;1049;506_081_MEG;9.00;6.00;7.00
03944LPEDN1A;1246LPEDN1A;106712;124;6;1050;506_081_MEM;9.00;6.00;0.50
03945LPEDN1A;1246LPEDN1A;106712;124;6;1051;506_081_TCC;1.00;2.00;10.00
03946LPEDN1A;1246LPEDN1A;106712;124;6;1052;506_081_PPI;2.00;4.75;8.50
03947BLIPN2A;1371BLIPN2A;106727;137;1;1168;701_092_AP;2.00;1.00;1.00
03948BLIPN2A;1371BLIPN2A;106727;137;1;1169;701_092_IB;8.00;10.00;8.50
03949BLIPN2A;1371BLIPN2A;106727;137;1;1170;701_092_LP;9.00;10.00;0.50
03950BLIPN2A;1371BLIPN2A;106727;137;1;1171;701_092_M;4.00;7.00;9.65
03951BLIPN2A;1371BLIPN2A;106727;137;1;1172;701_092_PPI;2.00;4.75;7.00
03952LPEDN2A;1245LPEDN2A;106728;124;5;1042;505_081_CM;1.00;10.00;6.00
03953LPEDN2A;1245LPEDN2A;106728;124;5;1043;505_081_D;1.00;1.00;10.00
03954LPEDN2A;1245LPEDN2A;106728;124;5;1044;505_081_FP;0.00;7.00;1.00
03955LPEDN2A;1245LPEDN2A;106728;124;5;1045;505_081_FEL;5.25;8.5;10.00
03956LPEDN2A;1245LPEDN2A;106728;124;5;1046;505_081_PPI;8.00;10.00;4.75
03957LMATN2A;1231LMATN2A;106734;123;1;1245;1261245LED;6.00;4.75;10.00
03958LCCTN2A;1223LCCTN2A;106744;122;3;671;303_092_CC;4.00;6.00;4.75
03959LCCTN2A;1223LCCTN2A;106744;122;3;672;303_092_CI;4.00;2.00;3.00
03960LCCTN2A;1223LCCTN2A;106744;122;3;673;303_092_DE;8.00;6.00;2.00
03961LCCTN2A;1223LCCTN2A;106744;122;3;674;303_092_E;1.00;5.00;1.00
03962LCCTN2A;1223LCCTN2A;106744;122;3;675;303_092_PPI;1.00;3.00;9.65
03963LBDDM2A;1272LBDDM2A;106746;127;2;589;823B_092_FBD;5.25;4.75;9.65
03964LBDDM2A;1272LBDDM2A;106746;127;2;590;823B_092_FSO;9.00;7.00;10.00
03965LBDDM2A;1272LBDDM2A;106746;127;2;591;823B_092_ICSOR;4.00;6.00;4.75
03966LBDDM2A;1272LBDDM2A;106746;127;2;592;823B_092_ICS;8.00;10.00;8.50
03967LBDDM2A;1272LBDDM2A;106746;127;2;593;823B_092_PPI;8.00;9.65;4.75
03968BPEDN1A;1244BPEDN1A;106755;124;4;1037;504_081_CP;10.00;8.5;5.00
03969BPEDN1A;1244BPEDN1A;106755;124;4;1038;504_081_EJA;2.00;6.00;5.00
03970BPEDN1A;1244BPEDN1A;106755;124;4;1039;504_081_EFEB;8.00;3.00;6.00
03971BPEDN1A;1244BPEDN1A;106755;124;4;1040;504_081_GE;7.5;9.65;0.50
03972BPEDN1A;1244BPEDN1A;106755;124;4;1041;504_081_PPI;5.25;4.75;7.00
03973BADMN1A;1201BADMN1A;106758;120;1;500;101_092_FA;2.00;5.00;7.00
03974BADMN1A;1201BADMN1A;106758;120;1;501;101_092_IB;4.00;7.00;1.00
03975BADMN1A;1201BADMN1A;106758;120;1;502;101_092_LP;3.5;10.00;9.65
03976BADMN1A;1201BADMN1A;106758;120;1;503;101_092_M;0.00;2.00;0.50
03977BADMN1A;1201BADMN1A;106758;120;1;504;101_092_PPI;6.00;6.00;8.50
03978LSISN2A;1254LSISN2A;106768;125;4;1184;704_092_BD;3.5;3.00;8.50
03979LSISN2A;1254LSISN2A;106768;125;4;1190;704_092_ES;6.00;2.00;3.00
03980LSISN2A;1254LSISN2A;106768;125;4;1186;704_092_E;7.5;1.00;7.00
03981LSISN2A;1254LSISN2A;106768;125;4;1187;704_092_MPN;1.00;1.00;0.50
03982LSISN2A;1254LSISN2A;106768;125;4;1188;704_092_PPI;0.00;4.75;7.00
03983LSISN2A;1254LSISN2A;106768;125;4;1189;704_092_TP;9.00;7.00;9.65
03984LMATM2A;1231LMATM2A;106782;123;1;1231;1261231FDV;1.00;4.75;10.00
03985BADMN2A;1203BADMN2A;106784;120;3;515;103_092_CO;5.25;4.75;1.00
03986BADMN2A;1203BADMN2A;106784;120;3;516;103_092_E;2.00;10.00;3.00
03987BADMN2A;1203BADMN2A;106784;120;3;517;103_092_LT;0.00;7.00;5.00
03988BADMN2A;1203BADMN2A;106784;120;3;518;103_092_M;1.00;9.65;7.00
03989BADMN2A;1203BADMN2A;106784;120;3;519;103_092_PPI;1.00;4.75;2.00
03990BADMN2A;1203BADMN2A;106784;120;3;520;103_092_SO;6.00;5.00;8.50
03991BADMN1A;1203BADMN1A;106792;120;3;515;103_092_CO;7.5;2.00;1.00
03992BADMN1A;1203BADMN1A;106792;120;3;516;103_092_E;2.00;10.00;7.00
03993BADMN1A;1203BADMN1A;106792;120;3;517;103_092_LT;3.5;8.5;8.50
03994BADMN1A;1203BADMN1A;106792;120;3;518;103_092_M;8.00;9.65;6.00
03995BADMN1A;1203BADMN1A;106792;120;3;519;103_092_PPI;9.00;7.00;8.50
03996BADMN1A;1203BADMN1A;106792;120;3;520;103_092_SO;7.5;4.75;10.00
03997BPEDN2A;1242BPEDN2A;106801;124;2;1019;502_092_FE;4.00;6.00;4.75
03998BPEDN2A;1242BPEDN2A;106801;124;2;1020;502_092_LP;4.00;5.00;5.00
03999BPEDN2A;1242BPEDN2A;106801;124;2;1021;502_092_PEN;7.5;2.00;1.00
04000BPEDN2A;1242BPEDN2A;106801;124;2;1022;502_092_PPI;6.00;1.00;3.00
04001BPEDN2A;1242BPEDN2A;106801;124;2;1023;502_092_PE;2.00;1.00;0.50
04002BPEDN2A;1242BPEDN2A;106801;124;2;1024;502_092_TE;3.5;2.00;4.75
04003LPEDM2A;1242LPEDM2A;106805;124;2;1019;502_092_FE;1.00;6.00;10.00
04004LPEDM2A;1242LPEDM2A;106805;124;2;1020;502_092_LP;9.00;6.00;5.00
04005LPEDM2A;1242LPEDM2A;106805;124;2;1021;502_092_PEN;5.25;7.00;6.00
04006LPEDM2A;1242LPEDM2A;106805;124;2;1022;502_092_PPI;4.00;10.00;5.00
04007LPEDM2A;1242LPEDM2A;106805;124;2;1023;502_092_PE;9.00;8.5;3.00
04008LPEDM2A;1242LPEDM2A;106805;124;2;1024;502_092_TE;0.00;6.00;6.00
04009LCCPN1A;1214LCCPN1A;106808;121;4;639;204_092_FLD;1.00;4.75;5.00
04010LCCPN1A;1214LCCPN1A;106808;121;4;640;204_092_LP;10.00;9.65;10.00
04011LCCPN1A;1214LCCPN1A;106808;121;4;641;204_092_MC;3.5;1.00;8.50
04012LCCPN1A;1214LCCPN1A;106808;121;4;642;204_092_PPI;1.00;5.00;7.00
04013LCCPN1A;1214LCCPN1A;106808;121;4;644;204_092_TC;8.00;2.00;5.00
04014BMATN2A;1231BMATN2A;106811;123;1;1216;1261216AEB;1.00;4.75;10.00
04015BADMN2A;1206BADMN2A;106822;120;6;532;106_081_FC;7.5;10.00;9.65
04016BADMN2A;1206BADMN2A;106822;120;6;538;106_081_GPE;5.25;6.00;9.65
04017BADMN2A;1206BADMN2A;106822;120;6;534;106_081_LE;3.5;2.00;1.00
04018BADMN2A;1206BADMN2A;106822;120;6;535;106_081_M;5.25;2.00;8.50
04019BADMN2A;1206BADMN2A;106822;120;6;536;106_081_MF;3.5;2.00;9.65
04020BADMN2A;1206BADMN2A;106822;120;6;539;106_081_PPIN;1.00;4.75;10.00
04021LSISN2A;1252LSISN2A;106829;125;2;1173;702_092_AP;5.25;9.65;4.75
04022LSISN2A;1252LSISN2A;106829;125;2;1174;702_092_FA;10.00;3.00;0.50
04023LSISN2A;1252LSISN2A;106829;125;2;1175;702_092_FSI;2.00;2.00;4.75
04024LSISN2A;1252LSISN2A;106829;125;2;1176;702_092_LP;6.00;5.00;6.00
04025LSISN2A;1252LSISN2A;106829;125;2;1177;702_092_M;7.5;4.75;5.00
04026LSISN2A;1252LSISN2A;106829;125;2;1178;702_092_PPI;7.5;3.00;6.00
04027LREDM1A;1325LREDM1A;106830;132;5;1092;821E_081_FIRW;2.00;5.00;8.50
04028LREDM1A;1325LREDM1A;106830;132;5;1093;821E_081_GPR;0.00;1.00;10.00
04029LREDM1A;1325LREDM1A;106830;132;5;1094;821E_081_LE;10.00;4.75;8.50
04030LREDM1A;1325LREDM1A;106830;132;5;1095;821E_081_PPI;8.00;4.75;9.65
04031LREDM1A;1325LREDM1A;106830;132;5;1096;821E_081_SR;8.00;7.00;9.65
04032LMATM2A;1232LMATM2A;106841;123;2;1231;1261231FDV;5.25;8.5;2.00
04033LCCTN1A;1228LCCTN1A;106844;122;8;697;308_081_A;9.00;8.5;6.00
04034LCCTN1A;1228LCCTN1A;106844;122;8;698;308_081_CS;7.5;1.00;10.00
04035LCCTN1A;1228LCCTN1A;106844;122;8;699;308_081_C;7.5;5.00;8.50
04036LCCTN1A;1228LCCTN1A;106844;122;8;700;308_081_PC;10.00;5.00;6.00
04037LCCTN1A;1228LCCTN1A;106844;122;8;701;308_081_TCC;10.00;7.00;0.50
04038BPEDN1A;1242BPEDN1A;106851;124;2;1019;502_092_FE;3.5;7.00;1.00
04039BPEDN1A;1242BPEDN1A;106851;124;2;1020;502_092_LP;0.00;3.00;4.75
04040BPEDN1A;1242BPEDN1A;106851;124;2;1021;502_092_PEN;4.00;9.65;10.00
04041BPEDN1A;1242BPEDN1A;106851;124;2;1022;502_092_PPI;4.00;8.5;2.00
04042BPEDN1A;1242BPEDN1A;106851;124;2;1023;502_092_PE;8.00;10.00;5.00
04043BPEDN1A;1242BPEDN1A;106851;124;2;1024;502_092_TE;1.00;3.00;9.65
04044LPEDM2A;1244LPEDM2A;106852;124;4;1037;504_081_CP;3.5;6.00;3.00
04045LPEDM2A;1244LPEDM2A;106852;124;4;1038;504_081_EJA;1.00;10.00;8.50
04046LPEDM2A;1244LPEDM2A;106852;124;4;1039;504_081_EFEB;7.5;3.00;1.00
04047LPEDM2A;1244LPEDM2A;106852;124;4;1040;504_081_GE;0.00;7.00;4.75
04048LPEDM2A;1244LPEDM2A;106852;124;4;1041;504_081_PPI;7.5;5.00;0.50
04049LCCTN1A;1228LCCTN1A;106854;122;8;697;308_081_A;1.00;8.5;5.00
04050LCCTN1A;1228LCCTN1A;106854;122;8;698;308_081_CS;5.25;2.00;4.75
04051LCCTN1A;1228LCCTN1A;106854;122;8;699;308_081_C;9.00;10.00;10.00
04052LCCTN1A;1228LCCTN1A;106854;122;8;700;308_081_PC;1.00;2.00;1.00
04053LCCTN1A;1228LCCTN1A;106854;122;8;701;308_081_TCC;8.00;9.65;9.65
04054LREDM1A;1325LREDM1A;106856;132;5;1092;821E_081_FIRW;7.5;5.00;10.00
04055LREDM1A;1325LREDM1A;106856;132;5;1093;821E_081_GPR;8.00;2.00;7.00
04056LREDM1A;1325LREDM1A;106856;132;5;1094;821E_081_LE;4.00;8.5;6.00
04057LREDM1A;1325LREDM1A;106856;132;5;1095;821E_081_PPI;7.5;8.5;3.00
04058LREDM1A;1325LREDM1A;106856;132;5;1096;821E_081_SR;9.00;1.00;8.50
04059BLIPN2A;1371BLIPN2A;106859;137;1;1168;701_092_AP;2.00;9.65;4.75
04060BLIPN2A;1371BLIPN2A;106859;137;1;1169;701_092_IB;8.00;4.75;9.65
04061BLIPN2A;1371BLIPN2A;106859;137;1;1170;701_092_LP;3.5;1.00;0.50
04062BLIPN2A;1371BLIPN2A;106859;137;1;1171;701_092_M;8.00;10.00;5.00
04063BLIPN2A;1371BLIPN2A;106859;137;1;1172;701_092_PPI;3.5;5.00;5.00
04064LMATM1A;1235LMATM1A;106877;123;5;1217;1261217ASE;1.00;1.00;8.50
04065LPEDM1A;1247LPEDM1A;106878;124;7;1058;507_081_APMD;10.00;5.00;1.00
04066LPEDM1A;1247LPEDM1A;106878;124;7;1059;507_081_FI;1.00;8.5;4.75
04067LPEDM1A;1247LPEDM1A;106878;124;7;1060;507_081_MA;6.00;3.00;0.50
04068LPEDM1A;1247LPEDM1A;106878;124;7;1061;507_081_MEH;9.00;2.00;0.50
04069LPEDM1A;1247LPEDM1A;106878;124;7;1062;507_081_TCC;10.00;4.75;0.50
04070LPEDM1A;1247LPEDM1A;106878;124;7;1063;507_081_PPI;9.00;8.5;8.50
04071LMATM1A;1236LMATM1A;106884;123;6;1238;1261238HDA;2.00;7.00;6.00
04072LREDM1A;1323LREDM1A;106889;132;3;1084;821C_092_FIE;2.00;10.00;2.00
04073LREDM1A;1323LREDM1A;106889;132;3;1085;821C_092_ICSO;10.00;7.00;6.00
04074LREDM1A;1323LREDM1A;106889;132;3;1086;821C_092_PPI;10.00;10.00;10.00
04075LREDM1A;1323LREDM1A;106889;132;3;1087;821C_092_TIRH;0.00;2.00;2.00
04076LPEDM1A;1247LPEDM1A;106891;124;7;1058;507_081_APMD;1.00;2.00;5.00
04077LPEDM1A;1247LPEDM1A;106891;124;7;1059;507_081_FI;3.5;7.00;10.00
04078LPEDM1A;1247LPEDM1A;106891;124;7;1060;507_081_MA;6.00;10.00;3.00
04079LPEDM1A;1247LPEDM1A;106891;124;7;1061;507_081_MEH;8.00;2.00;4.75
04080LPEDM1A;1247LPEDM1A;106891;124;7;1062;507_081_TCC;4.00;4.75;4.75
04081LPEDM1A;1247LPEDM1A;106891;124;7;1063;507_081_PPI;10.00;5.00;2.00
04082LREDM2A;1322LREDM2A;106892;132;2;1079;821B_092_101_CR;1.00;4.75;4.75
04083LREDM2A;1322LREDM2A;106892;132;2;1080;821B_092_101_FIE;5.25;2.00;6.00
04084LREDM2A;1322LREDM2A;106892;132;2;1081;821B_092_101_FSO;9.00;2.00;10.00
04085LREDM2A;1322LREDM2A;106892;132;2;1082;821B_092_101_ICSO;9.00;3.00;2.00
04086LREDM2A;1322LREDM2A;106892;132;2;1083;821B_092_101_PPI;10.00;1.00;9.65
04087LADMN2A;1204LADMN2A;106903;120;4;521;104_081_ADF;4.00;6.00;10.00
04088LADMN2A;1204LADMN2A;106903;120;4;522;104_081_CO;0.00;10.00;1.00
04089LADMN2A;1204LADMN2A;106903;120;4;523;104_081_DEM;6.00;8.5;10.00
04090LADMN2A;1204LADMN2A;106903;120;4;524;104_081_E;10.00;6.00;6.00
04091LADMN2A;1204LADMN2A;106903;120;4;525;104_081_M;6.00;5.00;4.75
04092LADMN2A;1204LADMN2A;106903;120;4;526;104_081_PPIN;4.00;5.00;6.00
04093LSISN2A;1255LSISN2A;106910;125;5;1191;705_092_BD;0.00;7.00;3.00
04094LSISN2A;1255LSISN2A;106910;125;5;1192;705_092_ESO;5.25;7.00;8.50
04095LSISN2A;1255LSISN2A;106910;125;5;1193;705_092_PO;0.00;1.00;0.50
04096LSISN2A;1255LSISN2A;106910;125;5;1194;705_092_PPI;8.00;6.00;9.65
04097LSISN2A;1255LSISN2A;106910;125;5;1195;705_092_TPR;1.00;6.00;1.00
04098LADMN2A;1208LADMN2A;106917;120;8;547;108_081_EC;2.00;5.00;8.50
04099LADMN2A;1208LADMN2A;106917;120;8;548;108_081_FC;7.5;1.00;8.50
04100LADMN2A;1208LADMN2A;106917;120;8;554;108_081_JE;4.00;3.00;7.00
04101LADMN2A;1208LADMN2A;106917;120;8;550;108_081_M;10.00;9.65;0.50
04102LADMN2A;1208LADMN2A;106917;120;8;555;108_081_PN;1.00;4.75;2.00
04103LADMN2A;1208LADMN2A;106917;120;8;553;108_081_TCC;4.00;4.75;10.00
04104BMATN2A;1235BMATN2A;106930;123;5;1239;1261239HED;5.25;4.75;3.00
04105LMATN2A;1231LMATN2A;106943;123;1;1245;1261245LED;5.25;7.00;1.00
04106BMATM1A;1233BMATM1A;106944;123;3;1242;1261242IAA;10.00;2.00;10.00
04107BPEDN2A;1242BPEDN2A;106959;124;2;1019;502_092_FE;9.00;2.00;7.00
04108BPEDN2A;1242BPEDN2A;106959;124;2;1020;502_092_LP;8.00;4.75;10.00
04109BPEDN2A;1242BPEDN2A;106959;124;2;1021;502_092_PEN;7.5;1.00;10.00
04110BPEDN2A;1242BPEDN2A;106959;124;2;1022;502_092_PPI;10.00;8.5;1.00
04111BPEDN2A;1242BPEDN2A;106959;124;2;1023;502_092_PE;1.00;4.75;5.00
04112BPEDN2A;1242BPEDN2A;106959;124;2;1024;502_092_TE;3.5;1.00;8.50
04113LMATN2A;1234LMATN2A;106960;123;4;1241;1261241INT;0.00;8.5;6.00
04114LMATN1A;1232LMATN1A;106962;123;2;1245;1261245LED;7.5;9.65;2.00
04115LADMM1A;1203LADMM1A;106969;120;3;515;103_092_CO;1.00;1.00;1.00
04116LADMM1A;1203LADMM1A;106969;120;3;516;103_092_E;6.00;10.00;4.75
